id,en,zh_CN
NONE,,
PUZZLES,Puzzles,谜题
CHALLENGES,Challenges,挑战房
OPTIONS,Options,选项
CUSTOM_LEVELS,Custom levels,自定义关卡
CREDITS,Credits,版权说明
BACK,Back,返回
IMPORT,Import,导入
SEED,Seed,种子
IMPORT_PROGRESS,Import Progress,导入进度
EXPORT_PROGRESS,Export Progress,导出进度
RESET_PROGESS,Reset Progress,重置进度
MOUSE_SPEED,Mouse Speed,鼠标速度
SAVE_AND_BACK,Save & Back,保存并退出
SPOILER_WARNING,Spoiler Warning,剧透警告
DO_NOT_SHOW_AGAIN,Do not show this again in the future,以后不要再显示
CONTINUE,Continue,继续
PUZZLE_SET_SELECTION,Puzzle Set Selection,选择谜题集
MECHANICS:,Mechanics:,使用机制：
Challenge:,Challenge:,挑战房：
Challenge: Normal,Normal,中等难度
Challenge: Normal DESC,Slightly harder than the original challenge.|original mechanics except eliminators,比原版见证者留声机稍微难一点的挑战关卡。|除了抗体以外的原版机制。
Challenge: Misc,Misc,杂项关卡
Challenge: Misc DESC,Some unsorted miscellaneous levels,一些没整理的杂项关卡
Challenge: Eliminators,Eliminators,抗体
Challenge: Eliminators DESC,The challenge for eliminator lovers. Increased time limit compared to the normal difficulty. |original mechanics,为喜欢抗体的人准备的挑战关，相比于中等难度有更长时间。|原版机制。
Challenge: Rings,Rings,圆环
Challenge: Rings DESC,The rings and circles from WitCup 1 & 2. |rings & circles,来自第一、二届见联会的新机制，圆环和实心圆。|圆环和实心圆。
Challenge: Arrows,Arrows,箭头
Challenge: Arrows DESC,Arrows from the expert mode. |Arrows,专家模式里的箭头。|箭头。
Challenge: Bee Hive,Bee Hive,蜂巢
Challenge: Bee Hive DESC,A variant where the board cells are hexagons.|original mechanics except eliminators,六边形题板格子的变种挑战。|除了抗体以外的原版机制。
Challenge: Speed,Speed,速度
Challenge: Speed DESC,Speed is everything. | original mechanics except eliminators,手速场。|除了抗体以外的原版机制。
Challenge: Finite Water,Finite Water,有限水
Challenge: Finite Water DESC,A variant with rule from WitCup 10 |Finite water by Fluittene,有限水，题不水。|无限水（喵基，第十届见联会）
Challenge: Antipolynomino,Antipolynomino,禁止俄方
Challenge: Droplets,Droplets,水滴
Challenge: Minesweeper,Minesweeper,扫雷
RANDOM,Random,随机
TIME_OUT,time out,超时
YOU_WIN,You win!,你赢了！
RESTART,Restart,重来
LOADING_PUZZLE,loading puzzle,加载谜题
RENDERING_PUZZLE,rendering puzzle,渲染谜题
CUSTOM_MUSIC_HINTS,"If the following list is non-empty, the record player will play them in order. Notice: no matter how you change it, In the Hall of the Mountain King will always be played in the final 2'34''.",当下方音乐列表非空时，将会按次序播放它们。注意：无论如何设置，最后2分34秒总会开始播放山大王的宫殿。
UP,Move up,上移
DOWN,Move down,下移
CUSTOM_MUSIC,Custom Music,自定义音乐
TOTAL_TIME,Total time,总时长
WitCup 7,WitCup 7,第七届见联会真题
WitCup 10,WitCup 10,第十届见联会真题
Other WitCups,Other WitCups,更多见联会真题
Looksy Sets,Looksy Sets,Looksy密卷
WIN,Win,胜利
AVG,Avg,平均
MIN,Min,最快
